canonical_stock_id,ticker,name,exchange,valid_from,valid_to,source,mapping_status
CMIN-CN:600115.SH,600115.SH,中国东航,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601888.SH,601888.SH,中国中免,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601618.SH,601618.SH,中国中冶,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601766.SH,601766.SH,中国中车,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601390.SH,601390.SH,中国中铁,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601800.SH,601800.SH,中国交建,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601319.SH,601319.SH,中国人保,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601628.SH,601628.SH,中国人寿,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601698.SH,601698.SH,中国卫通,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601111.SH,601111.SH,中国国航,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601601.SH,601601.SH,中国太保,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600176.SH,600176.SH,中国巨石,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601318.SH,601318.SH,中国平安,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:003816.SZ,003816.SZ,中国广核,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601668.SH,601668.SH,中国建筑,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601985.SH,601985.SH,中国核电,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601728.SH,601728.SH,中国电信,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601669.SH,601669.SH,中国电建,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600028.SH,600028.SH,中国石化,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601857.SH,601857.SH,中国石油,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601088.SH,601088.SH,中国神华,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600050.SH,600050.SH,中国联通,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601868.SH,601868.SH,中国能建,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600150.SH,600150.SH,中国船舶,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:688009.SH,688009.SH,中国通号,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601989.SH,601989.SH,中国重工,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601186.SH,601186.SH,中国铁建,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601600.SH,601600.SH,中国铝业,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601881.SH,601881.SH,中国银河,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601988.SH,601988.SH,中国银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000066.SZ,000066.SZ,中国长城,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:688012.SH,688012.SH,中微公司,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600918.SH,600918.SH,中泰证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601808.SH,601808.SH,中海油服,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600872.SH,600872.SH,中炬高新,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601898.SH,601898.SH,中煤能源,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002129.SZ,002129.SZ,中环股份,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603019.SH,603019.SH,中科曙光,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000157.SZ,000157.SZ,中联重科,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002179.SZ,002179.SZ,中航光电,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600760.SH,600760.SH,中航沈飞,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000768.SZ,000768.SZ,中航西飞,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:688981.SH,688981.SH,中芯国际,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601919.SH,601919.SH,中远海控,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601995.SH,601995.SH,中金公司,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600489.SH,600489.SH,中金黄金,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601696.SH,601696.SH,中银证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300003.SZ,300003.SZ,乐普医疗,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000538.SZ,000538.SZ,云南白药,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000858.SZ,000858.SZ,五粮液,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601328.SH,601328.SH,交通银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000725.SZ,000725.SZ,京东方A,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601816.SH,601816.SH,京沪高铁,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600079.SH,600079.SH,人福医药,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300014.SZ,300014.SZ,亿纬锂能,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300628.SZ,300628.SZ,亿联网络,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603369.SH,603369.SH,今世缘,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600887.SH,600887.SH,伊利股份,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:688036.SH,688036.SH,传音控股,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600048.SH,600048.SH,保利发展,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300529.SZ,300529.SZ,健帆生物,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603986.SH,603986.SH,兆易创新,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300450.SZ,300450.SZ,先导智能,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601788.SH,601788.SH,光大证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601818.SH,601818.SH,光大银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603195.SH,603195.SH,公牛集团,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601377.SH,601377.SH,兴业证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601166.SH,601166.SH,兴业银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601288.SH,601288.SH,农业银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002821.SZ,002821.SZ,凯莱英,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002027.SZ,002027.SZ,分众传媒,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600010.SH,600010.SH,包钢股份,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601169.SH,601169.SH,北京银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000786.SZ,000786.SZ,北新建材,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002371.SZ,002371.SZ,北方华创,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600111.SH,600111.SH,北方稀土,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000963.SZ,000963.SZ,华东医药,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000069.SZ,000069.SZ,华侨城A,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002007.SZ,002007.SZ,华兰生物,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603799.SH,603799.SH,华友钴业,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600741.SH,600741.SH,华域汽车,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600015.SH,600015.SH,华夏银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300676.SZ,300676.SZ,华大基因,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002064.SZ,002064.SZ,华峰化学,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601688.SH,601688.SH,华泰证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:688396.SH,688396.SH,华润微,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:688363.SH,688363.SH,华熙生物,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600011.SH,600011.SH,华能国际,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600025.SH,600025.SH,华能水电,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600426.SH,600426.SH,华鲁恒升,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300782.SZ,300782.SZ,卓胜微,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601990.SH,601990.SH,南京证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601009.SH,601009.SH,南京银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600029.SH,600029.SH,南方航空,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000895.SZ,000895.SZ,双汇发展,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000596.SZ,000596.SZ,古井贡酒,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603260.SH,603260.SH,合盛硅业,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600085.SH,600085.SH,同仁堂,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300033.SZ,300033.SZ,同花顺,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601216.SH,601216.SH,君正集团,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002736.SZ,002736.SZ,国信证券,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600886.SH,600886.SH,国投电力,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600061.SH,600061.SH,国投资本,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601211.SH,601211.SH,国泰君安,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600406.SH,600406.SH,国电南瑞,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600795.SH,600795.SH,国电电力,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600109.SH,600109.SH,国金证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002791.SZ,002791.SZ,坚朗五金,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600196.SH,600196.SH,复星医药,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002236.SZ,002236.SZ,大华股份,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603233.SH,603233.SH,大参林,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002008.SZ,002008.SZ,大族激光,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601006.SH,601006.SH,大秦铁路,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:688599.SH,688599.SH,天合光能,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600161.SH,600161.SH,天坛生物,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002709.SZ,002709.SZ,天赐材料,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601162.SH,601162.SH,天风证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002466.SZ,002466.SZ,天齐锂业,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:688561.SH,688561.SH,奇安信,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300750.SZ,300750.SZ,宁德时代,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002142.SZ,002142.SZ,宁波银行,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300866.SZ,300866.SZ,安克创新,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603658.SH,603658.SH,安图生物,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300144.SZ,300144.SZ,宋城演艺,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002624.SZ,002624.SZ,完美世界,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600989.SH,600989.SH,宝丰能源,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600845.SH,600845.SH,宝信软件,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600019.SH,600019.SH,宝钢股份,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600547.SH,600547.SH,山东黄金,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600809.SH,600809.SH,山西汾酒,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601138.SH,601138.SH,工业富联,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601398.SH,601398.SH,工商银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000001.SZ,000001.SZ,平安银行,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000776.SZ,000776.SZ,广发证券,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601238.SH,601238.SH,广汽集团,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002410.SZ,002410.SZ,广联达,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300601.SZ,300601.SZ,康泰生物,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300759.SZ,300759.SZ,康龙化成,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601939.SH,601939.SH,建设银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000425.SZ,000425.SZ,徐工机械,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600346.SH,600346.SH,恒力石化,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600276.SH,600276.SH,恒瑞医药,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600570.SH,600570.SH,恒生电子,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601100.SH,601100.SH,恒立液压,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000703.SZ,000703.SZ,恒逸石化,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002812.SZ,002812.SZ,恩捷股份,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601838.SH,601838.SH,成都银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:001979.SZ,001979.SZ,招商蛇口,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600999.SH,600999.SH,招商证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600036.SH,600036.SH,招商银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601336.SH,601336.SH,新华保险,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002001.SZ,002001.SZ,新和成,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601155.SH,601155.SH,新城控股,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000876.SZ,000876.SZ,新希望,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601901.SH,601901.SH,方正证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601799.SH,601799.SH,星宇股份,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601021.SH,601021.SH,春秋航空,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603899.SH,603899.SH,晨光文具,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002459.SZ,002459.SZ,晶澳科技,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300316.SZ,300316.SZ,晶盛机电,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300122.SZ,300122.SZ,智飞生物,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600926.SH,600926.SH,杭州银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000651.SZ,000651.SZ,格力电器,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300595.SZ,300595.SZ,欧普康视,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603833.SH,603833.SH,欧派家居,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002241.SZ,002241.SZ,歌尔股份,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601877.SH,601877.SH,正泰电器,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002157.SZ,002157.SZ,正邦科技,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002594.SZ,002594.SZ,比亚迪,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600016.SH,600016.SH,民生银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601933.SH,601933.SH,永辉超市,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300124.SZ,300124.SZ,汇川技术,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603160.SH,603160.SH,汇顶科技,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600919.SH,600919.SH,江苏银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600362.SH,600362.SH,江西铜业,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300142.SZ,300142.SZ,沃森生物,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:688126.SH,688126.SH,沪硅产业,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300347.SZ,300347.SZ,泰格医药,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000568.SZ,000568.SZ,泸州老窖,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002304.SZ,002304.SZ,洋河股份,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603993.SH,603993.SH,洛阳钼业,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601878.SH,601878.SH,浙商证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601916.SH,601916.SH,浙商银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603338.SH,603338.SH,浙江鼎力,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600352.SH,600352.SH,浙江龙盛,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600000.SH,600000.SH,浦发银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000977.SZ,000977.SZ,浪潮信息,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002311.SZ,002311.SZ,海大集团,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603288.SH,603288.SH,海天味业,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600690.SH,600690.SH,海尔智家,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002415.SZ,002415.SZ,海康威视,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600585.SH,600585.SH,海螺水泥,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600837.SH,600837.SH,海通证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002916.SZ,002916.SZ,深南电路,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300498.SZ,300498.SZ,温氏股份,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000338.SZ,000338.SZ,潍柴动力,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:688008.SH,688008.SH,澜起科技,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300015.SZ,300015.SZ,爱尔眼科,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300896.SZ,300896.SZ,爱美客,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
